map,algorithm,pair,success,time_ms,cost,length,nodes,memory_mb,smoothness
NEU Campus,Dijkstra,0,False,39.22400000010384,,,1050,0.1850452423095703,0.0
NEU Campus,Dijkstra,1,True,189.06870000046183,101.0,102,5867,1.8042068481445312,13.5
NEU Campus,Dijkstra,2,True,504.72660000014,240.0,237,14941,3.4770278930664062,38.680851063829785
NEU Campus,Dijkstra,3,True,127.15969999953813,127.0,124,4060,0.839324951171875,20.65573770491803
NEU Campus,Dijkstra,4,True,399.41689999977825,209.0,121,11676,3.2064056396484375,43.865546218487395
NEU Campus,Dijkstra,5,True,164.0954000004058,105.0,98,4664,0.9124298095703125,37.5
NEU Campus,Dijkstra,6,True,423.5828999999285,158.0,139,9688,2.225982666015625,24.306569343065693
NEU Campus,Dijkstra,7,True,132.62630000008357,109.0,86,3297,0.7368698120117188,16.071428571428573
NEU Campus,Dijkstra,8,True,657.1979000000283,234.0,217,15812,3.5784912109375,51.48837209302326
NEU Campus,Dijkstra,9,True,371.0374000002048,136.0,125,7174,1.901275634765625,38.78048780487805
NEU Campus,A*,0,False,58.61800000002404,,,1050,0.13724517822265625,0.0
NEU Campus,A*,1,True,102.33200000038778,101.0,102,1577,0.38925933837890625,9.0
NEU Campus,A*,2,True,574.7639999999592,240.0,237,8468,2.1217269897460938,46.723404255319146
NEU Campus,A*,3,True,75.04829999925278,127.0,124,1530,0.373504638671875,29.508196721311474
NEU Campus,A*,4,True,393.857900000512,209.0,121,7219,1.907684326171875,34.78991596638655
NEU Campus,A*,5,True,136.84639999974024,105.0,98,2512,0.5018768310546875,50.625
NEU Campus,A*,6,True,162.10490000048594,158.0,139,3443,0.7681808471679688,63.065693430656935
NEU Campus,A*,7,True,31.67189999930997,109.0,86,714,0.136444091796875,26.785714285714285
NEU Campus,A*,8,True,485.0250999998025,234.0,217,9939,2.291595458984375,51.48837209302326
NEU Campus,A*,9,True,189.12270000055287,136.0,125,3868,0.8196258544921875,44.63414634146341
NEU Campus,RRT-Connect,0,False,7947.696299999734,,,2485,0.621673583984375,0.0
NEU Campus,RRT-Connect,1,True,6.177600000228267,89.83883763959005,13,13,0.01235198974609375,0.4995197447286243
NEU Campus,RRT-Connect,2,True,66.00210000033258,177.38160256340763,24,49,0.019147872924804688,23.899804496919874
NEU Campus,RRT-Connect,3,True,66.10710000040854,259.20294313633815,25,39,0.015359878540039062,36.22450537679692
NEU Campus,RRT-Connect,4,True,37.86130000025878,92.6413818914288,14,20,0.011362075805664062,29.54824049663194
NEU Campus,RRT-Connect,5,True,146.6750999998112,80.38987793680714,13,93,0.029170989990234375,37.317428862276955
NEU Campus,RRT-Connect,6,True,19.106700000520505,202.39834843514035,16,22,0.01177978515625,44.7377736441393
NEU Campus,RRT-Connect,7,True,54.401700000198616,172.46250029278454,24,37,0.0159454345703125,30.781077651737366
NEU Campus,RRT-Connect,8,True,57.85979999927804,173.51011206876535,24,62,0.021623611450195312,31.78081626484241
NEU Campus,RRT-Connect,9,True,82.34100000026956,343.520245909636,29,59,0.020477294921875,31.101641499939863
Office Building,Dijkstra,0,False,476.24530000030063,,,15361,3.5322742462158203,0.0
Office Building,Dijkstra,1,True,55.46130000038829,50.0,51,2091,0.4373340606689453,5.510204081632653
Office Building,Dijkstra,2,True,252.12550000014744,111.0,112,9065,2.143646240234375,4.909090909090909
Office Building,Dijkstra,3,True,341.9878000004246,164.0,165,12178,3.2072601318359375,2.7607361963190185
Office Building,Dijkstra,4,True,45.03659999954834,52.0,53,1710,0.38164520263671875,1.7647058823529411
Office Building,Dijkstra,5,True,249.0966000004846,159.0,160,7905,1.9944534301757812,2.848101265822785
Office Building,Dijkstra,6,True,212.80060000026424,130.0,131,7656,1.9629440307617188,4.186046511627907
Office Building,Dijkstra,7,True,330.0795000004655,140.0,141,11683,3.2077865600585938,2.5899280575539567
Office Building,Dijkstra,8,True,64.00980000034906,92.0,93,2384,0.4724273681640625,2.967032967032967
Office Building,Dijkstra,9,True,418.9567999992505,212.0,213,14160,3.3599319458007812,3.4123222748815167
Office Building,A*,0,False,556.4925999997286,,,15361,3.5092334747314453,0.0
Office Building,A*,1,True,5.289199999424454,50.0,51,172,0.03318023681640625,5.510204081632653
Office Building,A*,2,True,86.02069999960804,111.0,112,2451,0.49558258056640625,16.363636363636363
Office Building,A*,3,True,90.26130000074772,164.0,165,2552,0.7161331176757812,2.7607361963190185
Office Building,A*,4,True,31.38279999984661,52.0,53,943,0.1353912353515625,84.70588235294117
Office Building,A*,5,True,73.95530000030703,159.0,160,2095,0.4394378662109375,3.4177215189873418
Office Building,A*,6,True,103.76910000013595,130.0,131,2847,0.7197494506835938,24.41860465116279
Office Building,A*,7,True,129.5348000003287,140.0,141,2974,0.7190322875976562,30.431654676258994
Office Building,A*,8,True,40.91030000017781,92.0,93,1207,0.1610260009765625,5.934065934065934
Office Building,A*,9,True,243.42979999983072,212.0,213,6114,1.8001480102539062,17.061611374407583
Office Building,RRT-Connect,0,False,4963.168199999927,,,1698,0.39557456970214844,0.0
Office Building,RRT-Connect,1,True,27.785899999798858,86.62641583165593,8,14,0.011461257934570312,60.909458662781184
Office Building,RRT-Connect,2,True,519.27969999997,115.07002769455806,18,173,0.04675102233886719,39.37094568223022
Office Building,RRT-Connect,3,True,2646.7399000002843,193.85485219714514,33,570,0.14029693603515625,59.25149441809284
Office Building,RRT-Connect,4,True,2.756500000032247,36.99442889621261,7,7,0.008596420288085938,4.0247275657524445e-07
Office Building,RRT-Connect,5,True,2616.783600000417,182.9483077738891,29,647,0.1626415252685547,59.339561309208996
Office Building,RRT-Connect,6,True,358.1872000004296,298.2479720521356,32,120,0.03238105773925781,41.82648710423915
Office Building,RRT-Connect,7,True,793.3128999993642,177.1054850956264,28,212,0.05574226379394531,47.52292028228434
Office Building,RRT-Connect,8,True,42.06869999961782,107.02526585678989,15,21,0.01226806640625,39.397773468024944
Office Building,RRT-Connect,9,False,3537.941900000078,,,648,0.1594562530517578,0.0
Warehouse,Dijkstra,0,True,471.2440000002971,290.0,291,14836,3.5385284423828125,0.31141868512110726
Warehouse,Dijkstra,1,True,314.0300999993997,156.0,157,11052,3.2111129760742188,1.1612903225806452
Warehouse,Dijkstra,2,True,138.37809999949968,83.0,84,4996,1.4425506591796875,3.292682926829268
Warehouse,Dijkstra,3,True,371.1741000006441,141.0,142,12493,3.2113876342773438,1.9285714285714286
Warehouse,Dijkstra,4,True,103.02929999943444,70.0,71,3755,0.7943191528320312,5.217391304347826
Warehouse,Dijkstra,5,True,338.9625000008891,157.0,158,12085,3.2104034423828125,0.5769230769230769
Warehouse,Dijkstra,6,True,282.7148999995188,124.0,125,9943,2.2528228759765625,0.7317073170731707
Warehouse,Dijkstra,7,True,430.07959999977174,184.0,185,14554,3.4073486328125,0.4918032786885246
Warehouse,Dijkstra,8,True,99.08249999989494,110.0,111,3445,0.7515640258789062,2.477064220183486
Warehouse,Dijkstra,9,True,67.11089999953401,45.0,46,2402,0.4773883819580078,6.136363636363637
Warehouse,A*,0,True,539.0485999996599,290.0,291,14836,3.4583511352539062,33.944636678200695
Warehouse,A*,1,True,109.96840000007069,156.0,157,3085,0.7199020385742188,2.3225806451612905
Warehouse,A*,2,True,46.19029999958002,83.0,84,1319,0.36684417724609375,26.341463414634145
Warehouse,A*,3,True,194.56309999986843,141.0,142,4594,0.9142684936523438,28.928571428571427
Warehouse,A*,4,True,13.670600000295963,70.0,71,370,0.0824127197265625,5.217391304347826
Warehouse,A*,5,True,205.28529999955936,157.0,158,5657,1.7994003295898438,9.23076923076923
Warehouse,A*,6,True,91.36059999946156,124.0,125,2557,0.71746826171875,5.121951219512195
Warehouse,A*,7,True,286.6459000006216,184.0,185,7863,2.0132522583007812,21.639344262295083
Warehouse,A*,8,True,21.62399999997433,110.0,111,679,0.13547515869140625,2.477064220183486
Warehouse,A*,9,True,10.283199999321369,45.0,46,330,0.08289337158203125,6.136363636363637
Warehouse,RRT-Connect,0,True,120.1917999997022,308.6769437700103,41,97,0.03350639343261719,37.654187239551966
Warehouse,RRT-Connect,1,True,20.936900000378955,166.040823777143,23,25,0.012691497802734375,15.6597751629431
Warehouse,RRT-Connect,2,True,18.76159999937954,80.51517269350765,12,14,0.009847640991210938,39.79047909478417
Warehouse,RRT-Connect,3,True,29.494200000044657,243.0053318563072,20,28,0.013227462768554688,49.22662069745376
Warehouse,RRT-Connect,4,True,50.43420000038168,75.374497840744,12,24,0.012239456176757812,29.113806589628215
Warehouse,RRT-Connect,5,True,17.809500000112166,155.13954203798843,22,26,0.012586593627929688,23.808891380964635
Warehouse,RRT-Connect,6,True,71.77950000004785,250.64580666989096,22,48,0.01851654052734375,49.50324513325147
Warehouse,RRT-Connect,7,True,75.33079999939218,325.4530018934203,27,55,0.018678665161132812,39.62154976366252
Warehouse,RRT-Connect,8,True,78.25510000020586,283.6210114838832,22,48,0.017549514770507812,23.836561275109666
Warehouse,RRT-Connect,9,True,18.295500000022002,132.2159269303576,12,19,0.011425018310546875,39.709099521451606
Hospital,Dijkstra,0,False,0.38330000006681075,,,16,0.0023746490478515625,0.0
Hospital,Dijkstra,1,True,22.61570000064239,41.0,42,716,0.13491058349609375,2.25
Hospital,Dijkstra,2,True,55.239199999959965,82.0,83,1668,0.39984130859375,5.555555555555555
Hospital,Dijkstra,3,True,103.1646000001274,104.0,105,3055,0.72088623046875,0.8737864077669902
Hospital,Dijkstra,4,True,130.14490000023216,155.0,156,3549,0.7604751586914062,1.7532467532467533
Hospital,Dijkstra,5,True,20.60429999983171,52.0,53,676,0.13311767578125,1.7647058823529411
Hospital,Dijkstra,6,True,74.97039999998378,80.0,81,2227,0.45008087158203125,3.4177215189873418
Hospital,Dijkstra,7,True,71.62679999964894,118.0,119,2170,0.44366455078125,2.3076923076923075
Hospital,Dijkstra,8,True,98.39069999998173,128.0,129,3019,0.7205047607421875,2.125984251968504
Hospital,Dijkstra,9,False,149.84999999978754,,,3976,0.8137760162353516,0.0
Hospital,A*,0,False,1.1242000000493135,,,16,0.0025119781494140625,0.0
Hospital,A*,1,True,7.998900000529829,41.0,42,189,0.0327301025390625,15.75
Hospital,A*,2,True,21.60959999946499,82.0,83,558,0.08213043212890625,14.444444444444445
Hospital,A*,3,True,26.616099999955622,104.0,105,645,0.13543701171875,1.7475728155339805
Hospital,A*,4,True,82.67309999973804,155.0,156,1832,0.412078857421875,11.103896103896103
Hospital,A*,5,True,5.948500000158674,52.0,53,139,0.03295135498046875,1.7647058823529411
Hospital,A*,6,True,24.365600000237464,80.0,81,578,0.08304595947265625,5.69620253164557
Hospital,A*,7,True,30.315199999677134,118.0,119,745,0.1344451904296875,5.384615384615385
Hospital,A*,8,True,51.23280000043451,128.0,129,1168,0.15828704833984375,12.755905511811024
Hospital,A*,9,False,169.87309999967692,,,3976,0.8137989044189453,0.0
Hospital,RRT-Connect,0,False,1987.4282999999195,,,8,0.009237289428710938,0.0
Hospital,RRT-Connect,1,True,174.46659999950498,82.9521272064969,9,73,0.026037216186523438,62.73495675536673
Hospital,RRT-Connect,2,True,41.84179999992921,161.70243050799445,15,21,0.011615753173828125,33.550885683394235
Hospital,RRT-Connect,3,True,47.9486000003817,194.53022088579272,17,26,0.012456893920898438,43.76711035341034
Hospital,RRT-Connect,4,True,229.90389999995386,272.7122600649345,23,69,0.022243499755859375,35.28582310497503
Hospital,RRT-Connect,5,True,32.972699999845645,58.96707365153554,10,15,0.010217666625976562,48.93517018692675
Hospital,RRT-Connect,6,True,59.84489999991638,88.04460951328313,13,24,0.01219940185546875,35.18441612329862
Hospital,RRT-Connect,7,True,30.004899999767076,214.73047782363668,17,18,0.011127471923828125,50.77283967687601
Hospital,RRT-Connect,8,True,66.05080000008456,153.57410001186895,22,29,0.013225555419921875,30.940965260711682
Hospital,RRT-Connect,9,False,2884.136700000454,,,512,0.13658714294433594,0.0
